scenario,sigma_true,anchor,prior_sd_log,bias,rmse,sd,mean_hat,frac_bound,plain_bias,plain_rmse,plain_sd,plain_frac_bound
uniform_6h,0.2,0.15,0.15,-0.005249321804159324,0.009468304534723731,0.007895744581013374,0.1947506781958407,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.15,0.3,-0.00216059244099287,0.008740568482693462,0.008486309415438311,0.19783940755900714,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.15,0.6,-0.0013044340942779675,0.008733975123848155,0.00865334006814847,0.19869556590572204,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.15,0.005597325272661852,0.0099597519934394,0.008254645130334328,0.20559732527266186,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.3,0.0006860172825523536,0.008609970204795953,0.008599813625485491,0.20068601728255236,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.6,-0.0005837194529009215,0.008685701639076462,0.008683449414738007,0.1994162805470991,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.15,0.018291598583486668,0.020232182280389317,0.00866365145383525,0.21829159858348668,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.3,0.0036535146477829628,0.009436497291351867,0.00871798859535394,0.20365351464778297,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.6,0.0001446337421042443,0.008697635409446576,0.008713877981369755,0.20014463374210426,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.3,0.15,0.15,-0.01587862309199284,0.01908738640003116,0.010613587576853182,0.28412137690800715,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.15,0.3,-0.005249162466650192,0.012711946464260042,0.011600783984937595,0.2947508375333498,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.15,0.6,-0.0021932626348226125,0.012072583647292077,0.011895498580617834,0.2978067373651774,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.15,-0.0010596902534567576,0.011110509007426675,0.01108204465909349,0.29894030974654323,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.3,-0.0011137433251334206,0.0117851906392928,0.011755981738533889,0.29888625667486657,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.6,-0.0011275869810006833,0.011966695644647198,0.011937351199766315,0.2988724130189993,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.15,0.016146997002122132,0.01987611884924283,0.011613530241116716,0.3161469970021221,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.3,0.003195098359368209,0.012315343486815438,0.011917514012290598,0.3031950983593682,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.6,-5.065133359549723e-05,0.011955762832035588,0.011979638822751833,0.2999493486664045,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.5,0.15,0.15,-0.04454150316095795,0.047431807880364114,0.016337028154404794,0.45545849683904205,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.15,0.3,-0.015353956581104278,0.02391161434055143,0.018367656379635118,0.4846460434188957,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.15,0.6,-0.006555885686549023,0.020078225752173585,0.019015833400083927,0.493444114313451,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.15,-0.021993277243457954,0.02784489132970242,0.01711154432105813,0.47800672275654205,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.3,-0.008570924561754178,0.02048423439643286,0.01864224353291427,0.4914290754382458,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.6,-0.004767689121338847,0.01964089739587392,0.019091672498570814,0.49523231087866115,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.15,0.004008109875761057,0.018408591746656166,0.018002992425259195,0.5040081098757611,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.3,-0.0015031211152793933,0.018951212323655285,0.018929404769001585,0.4984968788847206,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.6,-0.0029602683394698293,0.019357736156550173,0.01916842388832195,0.49703973166053017,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_24h,0.2,0.15,0.15,-0.006345845068773781,0.010943741241144863,0.008933923138624018,0.19365415493122623,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.15,0.3,-0.002462453984694052,0.010012953804167347,0.009724909238467961,0.19753754601530596,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.15,0.6,-0.0013644539231101593,0.010024877403824402,0.009951510573990022,0.19863554607688985,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.15,0.007373228746283628,0.011790279819024658,0.009218792796694701,0.20737322874628364,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.3,0.0012002721522612614,0.009875892724021432,0.009822347882690773,0.20120027215226127,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.6,-0.00043286422077479236,0.0099673117646694,0.00997788379570802,0.19956713577922522,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.6,0.15,0.02331511569059147,0.02519089998017047,0.009557836108113947,0.22331511569059148,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.6,0.3,0.0050149680557327325,0.01110212925962207,0.009924785891762397,0.20501496805573274,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.6,0.6,0.0005084350945374072,0.009997506743215723,0.010004599084754635,0.20050843509453742,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.3,0.15,0.15,-0.016793356910758672,0.021359289293725964,0.013225052394766809,0.2832066430892413,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.15,0.3,-0.004460612492718952,0.01520430371533368,0.01456441817461201,0.29553938750728104,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.15,0.6,-0.000874600363081679,0.014963790233768983,0.014968175489184962,0.2991253996369183,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.3,0.15,0.00032552736240359925,0.013751696885112862,0.01377542188642312,0.3003255273624036,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.3,0.3,0.0003604130417602103,0.014727833392551596,0.014752958279275625,0.3003604130417602,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.3,0.6,0.00037103545215444456,0.014993997032138443,0.01501947463014881,0.30037103545215443,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.6,0.15,0.020158307313723367,0.024760073270142,0.01440604076874732,0.32015830731372336,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.6,0.3,0.0053829307484590805,0.015861120537315997,0.014949688088798749,0.30538293074845907,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.3,0.6,0.6,0.0016298552968693203,0.015129228879071512,0.01507135432105827,0.3016298552968693,0.0,0.00037477653949613554,0.0150848714574929,0.015110466379677789,0.0
uniform_24h,0.5,0.15,0.15,-0.04741932759531664,0.05096159268790693,0.01870536990141517,0.45258067240468336,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.15,0.3,-0.015247435780379404,0.026132935985636225,0.021266289418114925,0.4847525642196206,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.15,0.6,-0.005463785018010314,0.02271638292653019,0.02209374665162392,0.4945362149819897,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.3,0.15,-0.02257890598017276,0.029919125461270606,0.019669637813458162,0.47742109401982724,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.3,0.3,-0.00772118027261115,0.02291098579027076,0.02161400717833344,0.49227881972738885,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.3,0.6,-0.0034751379212515365,0.022416831491764464,0.02219025416886336,0.49652486207874846,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.6,0.15,0.00609051946161876,0.021623361404506436,0.020789520141368718,0.5060905194616188,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.6,0.3,0.0001250700703977481,0.021934885396552282,0.021978529931484723,0.5001250700703977,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
uniform_24h,0.5,0.6,0.6,-0.001464757056813093,0.02229155285028026,0.022287997545308386,0.4985352429431869,0.0,-0.002003903150813946,0.02243702374489474,0.02239218718389615,0.0
pessimistic_onfile,0.2,0.15,0.15,-0.022785750503672625,0.02673326962027446,0.014009365720339268,0.1772142494963274,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.15,0.3,-0.010427363294395947,0.023220033268524648,0.020788667936555753,0.18957263670560406,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.15,0.6,-0.0048493693725291664,0.024570891714971746,0.024135917351183814,0.19515063062747084,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.3,0.15,0.0375236434033511,0.041102939681998185,0.016809463659325424,0.2375236434033511,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.3,0.3,0.010364842633900556,0.025362227650598312,0.0231940614494602,0.21036484263390057,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.3,0.6,0.0008976664700183767,0.024978062882534402,0.025012001542401116,0.2008976664700184,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.6,0.15,0.15420537379094518,0.15595977410404097,0.0233738997459924,0.3542053737909452,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.6,0.3,0.03767774968724619,0.04618796530093729,0.026769042637358013,0.2376777496872462,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.2,0.6,0.6,0.007104531821799737,0.026903217214771475,0.02600024567574328,0.20710453182179975,0.0,-0.00252375039447833,0.02567766399572114,0.02560459908298362,0.0
pessimistic_onfile,0.3,0.15,0.15,-0.06869753088131439,0.07101519625458577,0.018030745436953977,0.2313024691186856,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.15,0.3,-0.028551786273229296,0.04053361168338047,0.028828693187700226,0.2714482137267707,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.15,0.6,-0.0073889978853263205,0.03673550477649344,0.03605690534595174,0.29261100211467367,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.3,0.15,0.00040418800606834004,0.021985868142287403,0.022026249173119423,0.30040418800606833,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.3,0.3,0.0012878844901287878,0.03296214511520597,0.03300304787154101,0.3012878844901288,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.3,0.6,0.0020335799690763268,0.03789656815474796,0.037917878268520964,0.3020335799690763,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.6,0.15,0.13288919031083518,0.13643094937786504,0.0309466934910391,0.43288919031083517,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.6,0.3,0.04162054716728347,0.05743701105172888,0.039661472763115026,0.34162054716728346,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.3,0.6,0.6,0.012386347397051856,0.04188941774499393,0.04009654159357412,0.31238634739705184,0.0,0.0024183235561319183,0.03996082556044686,0.03996759845619628,0.0
pessimistic_onfile,0.5,0.15,0.15,-0.18832121818144354,0.18995445258229376,0.02490570245052802,0.31167878181855646,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.15,0.3,-0.09570100435410128,0.10613391444637545,0.04598023804297653,0.4042989956458987,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.15,0.6,-0.029527122816851603,0.07568350810636998,0.06982581898864684,0.4704728771831484,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.3,0.15,-0.10474628437364503,0.10922264158890971,0.03101044884106326,0.395253715626355,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.3,0.3,-0.0459535445537525,0.07195819625581525,0.05548484498879338,0.4540464554462475,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.3,0.6,-0.00850750207823564,0.07705924539369205,0.07674181999914513,0.49149249792176436,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.6,0.15,0.05601127939995032,0.0708268508712707,0.04343646267227379,0.5560112793999503,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.6,0.3,0.027470346772622167,0.07710294791632386,0.0721878728146581,0.5274703467726222,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
pessimistic_onfile,0.5,0.6,0.6,0.01617532277697975,0.08712405452369734,0.08578107823548077,0.5161753227769798,0.0,0.012199163497250809,0.09272411790621186,0.09210251868022605,0.0
